City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,ancud,-41.8697,-73.8203,10.29,82,97,4.05,CL,1702342991
263,crane,31.3974,-102.3501,12.52,25,32,4.16,US,1702343606
264,amga,60.8953,131.9608,-28.39,94,100,2.9,RU,1702343606
265,karratha,-20.7377,116.8463,30.05,32,0,2.45,AU,1702343557
266,berdigestyakh,62.0989,126.6992,-28.62,95,100,3.45,RU,1702343083
267,maumere,-8.6199,122.2111,29.83,68,77,0.72,ID,1702343609
268,ceeldheer,3.8488,47.1806,25.81,83,99,5.8,SO,1702343610
269,brookings,44.3114,-96.7984,3.0,65,100,7.2,US,1702343361
270,ispir,40.4829,40.9956,5.26,99,100,0.47,TR,1702343611
271,labuan,5.2767,115.2417,27.06,79,0,2.59,MY,1702343418
272,guaruja,-23.9931,-46.2564,21.05,26,100,1.83,BR,1702343413
273,hailar,49.2,119.7,-33.71,100,97,1.32,CN,1702343401
274,olovyannaya,50.95,115.5667,-34.73,100,29,0.49,RU,1702343614
275,vila franca do campo,37.7167,-25.4333,13.23,84,100,2.35,PT,1702343070
276,bubaque,11.2833,-15.8333,28.04,61,3,4.84,GW,1702343615
277,pingliang,35.5392,106.6861,-0.27,62,0,1.78,CN,1702343429
278,kaa-khem,51.6833,94.7333,-34.22,97,94,1.05,RU,1702343616
279,baharly,38.4362,57.4316,0.42,71,22,4.77,TM,1702343617
280,kayangel,8.0823,134.7173,28.14,76,76,6.43,PW,1702343618
281,yarmouth,41.7057,-70.2286,6.09,76,0,11.62,US,1702343456
282,kirakira,-10.4544,161.9205,29.07,75,100,2.51,SB,1702343618
283,kenora,49.8167,-94.4337,-4.46,93,100,4.12,CA,1702342929
284,kenai,60.5544,-151.2583,-1.97,90,75,3.09,US,1702343619
285,iskateley,67.6803,53.1512,-14.33,91,100,7.71,RU,1702343620
286,la ronge,55.1001,-105.2842,-12.27,74,6,6.29,CA,1702343621
287,lata,40.1629,-8.3327,16.62,93,100,1.88,PT,1702343621
288,berezovyy,51.6667,135.7,-22.66,58,0,2.14,RU,1702343622
289,bloomfield,40.8068,-74.1854,4.95,56,20,5.14,US,1702343623
290,ulladulla,-35.35,150.4667,25.48,66,44,3.53,AU,1702343065
291,ozimek,50.6794,18.2137,5.98,89,100,6.72,PL,1702343624
292,portland,45.5234,-122.6762,10.96,93,100,1.34,US,1702343481
293,quellon,-43.1167,-73.6167,9.9,88,100,2.92,CL,1702343075
294,kolosovka,56.4678,73.611,-31.77,97,16,3.16,RU,1702343626
295,nova sintra,14.8667,-24.7167,23.16,68,71,5.76,CV,1702343627
296,taoudenni,22.6783,-3.9836,18.94,25,3,5.61,ML,1702343627
297,bonthe,7.5264,-12.505,26.28,82,11,1.97,SL,1702342997
298,sala,34.0389,-6.8166,19.24,100,49,0.0,MA,1702343628
299,turpan,42.9333,89.1667,-1.31,68,100,0.89,CN,1702343629
300,marsh harbour,26.5412,-77.0636,22.8,79,100,9.09,BS,1702343629
301,inari,68.906,27.0288,-13.89,98,29,2.09,FI,1702343084
302,mbanza kongo,-6.267,14.2401,21.11,100,100,0.65,AO,1702343630
303,san antonio de pale,-1.4014,5.6325,26.42,82,100,2.84,GQ,1702343101
304,embarcacion,-23.209,-64.096,27.9,77,100,0.69,AR,1702343631
305,general mosconi,-23.1851,-62.303,29.24,56,100,3.15,AR,1702343632
306,nemuro,43.3236,145.575,1.33,99,100,6.9,JP,1702343062
307,guercif,34.2257,-3.3536,19.66,45,100,3.07,MA,1702343633
308,juan griego,11.0817,-63.9655,25.43,91,45,4.42,VE,1702343633
309,uturoa,-16.7333,-151.4333,26.87,77,100,8.69,PF,1702343054
310,saynshand,44.8824,110.1163,-14.34,93,100,4.13,MN,1702343634
311,afaahiti,-17.75,-149.2833,29.93,81,80,9.84,PF,1702343635
312,raduzhny,62.0961,77.475,-29.29,93,100,2.88,RU,1702343635
313,saudarkrokur,65.7461,-19.6394,-4.65,93,100,2.34,IS,1702343636
314,betare oya,5.6,14.0833,20.87,35,97,1.71,CM,1702343490
315,balabac,7.9868,117.0645,28.85,73,4,7.02,PH,1702343637
316,fort mcmurray,56.7268,-111.381,-10.64,58,30,1.83,CA,1702343500
317,kidal,18.4411,1.4078,18.38,35,0,8.11,ML,1702343638
318,belyy yar,53.6039,91.3903,-33.06,75,20,0.0,RU,1702343638
319,camapua,-19.5314,-54.0439,28.18,49,67,0.89,BR,1702343638
320,banda aceh,5.5577,95.3222,26.51,81,98,1.0,ID,1702343639
321,minas de marcona,-15.2119,-75.1103,16.47,80,19,4.73,PE,1702343094
322,acarau,-2.8856,-40.12,26.65,79,15,7.22,BR,1702342846
323,ulysses,37.5814,-101.3552,6.53,45,0,2.57,US,1702343640
324,aral,40.5156,81.2636,-2.93,56,53,1.44,CN,1702343641
325,mazamari,-11.3258,-74.5308,23.85,88,99,0.92,PE,1702343642
326,ballina,-28.8667,153.5667,27.66,60,94,3.0,AU,1702343642
327,rawson,-43.3002,-65.1023,16.99,50,0,0.78,AR,1702343643
328,kerikeri,-35.2268,173.9474,21.06,65,0,1.34,NZ,1702343644
329,codrington,-38.2667,141.9667,32.81,35,100,5.29,AU,1702343061
330,guisa,20.255,-76.5386,23.17,91,75,1.07,CU,1702343645
331,rongelap,11.1635,166.8941,27.57,76,7,8.79,MH,1702343645
332,hami,42.8,93.45,-2.36,56,100,1.28,CN,1702343646
333,neusiedl am see,47.9357,16.8325,9.32,84,3,3.71,AT,1702343646
334,bekalta,35.6174,10.9947,13.01,52,0,4.29,TN,1702343647
335,prado,-17.3411,-39.2208,25.5,83,100,6.11,BR,1702343647
336,madalena,41.2162,-8.3345,15.98,95,100,2.63,PT,1702343648
337,nguekhokh,14.5128,-17.005,23.49,78,5,7.2,SN,1702343648
338,soanierana ivongo,-16.9167,49.5833,24.27,89,17,1.53,MG,1702343649
339,vodnyy,63.5046,53.4095,-16.99,93,100,5.61,RU,1702343650
340,nicoya,10.1483,-85.452,25.75,82,82,4.19,CR,1702343650
341,haiku-pauwela,20.9219,-156.3051,30.01,55,20,5.66,US,1702343650
342,achacachi,-16.05,-68.6833,8.79,86,100,3.84,BO,1702343651
343,kigoma,-4.8769,29.6267,21.35,91,100,2.27,TZ,1702343651
344,uliastay,47.7417,96.8444,-15.19,97,100,1.24,MN,1702343652
345,sinop,41.7711,34.8709,7.21,83,95,0.99,TR,1702343652
346,nelson bay,-32.7167,152.15,27.03,67,3,2.24,AU,1702343063
347,talcahuano,-36.7167,-73.1167,13.19,85,100,4.35,CL,1702343654
348,bikenibeu village,1.3673,173.1241,27.94,76,100,1.56,KI,1702343654
349,mayya,61.7333,130.2811,-34.38,95,100,3.18,RU,1702343655
350,margate,51.3813,1.3862,9.83,91,10,1.34,GB,1702343423
351,tinajo,29.0788,-13.7081,18.49,48,56,3.6,ES,1702343656
